Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
151,NHL 18,2017,Sports,EA Sports,0.32,0.03,0,0.04,0.39,1/1/2017
152,The Evil Within II,2017,Action,Bethesda Softworks,0.25,0.1,0,0.04,0.39,1/1/2017
153,Rayman Legends,2014,Platform,Ubisoft,0.13,0.22,0,0.03,0.38,1/1/2014
154,Just Dance 2016,2015,Music,Ubisoft,0.3,0.04,0,0.04,0.38,1/1/2015
155,Skylanders SWAP Force,2013,Misc,Activision,0.25,0.07,0,0.03,0.35,1/1/2013
156,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,0.25,0.07,0,0.03,0.35,1/1/2016
157,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.21,0.11,0,0.03,0.35,1/1/2015
158,Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,0.26,0.05,0,0.03,0.34,1/1/2017
159,Just Dance 2017,2016,Music,Ubisoft,0.25,0.05,0,0.03,0.34,1/1/2016
160,The Lego Ninjago Movie Videogame,2017,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0,0.03,0.33,1/1/2017
161,The Crew 2,2018,Racing,Ubisoft,0.2,0.1,0,0.03,0.33,1/1/2018
162,Farming Simulator 17,2016,Simulation,Focus Home Interactive,0.19,0.11,0,0.03,0.33,1/1/2016
