Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
562,Blues and Bullets,N/A,Action-Adventure,,0,0,0,0,0,#VALUE!
563,Game 4,N/A,Strategy,,0,0,0,0,0,#VALUE!
564,Raiden V,2016,Action,Moss,0,0,0,0,0,1/1/2016
565,Assassin's Creed Chronicles: China,2015,Action-Adventure,Ubisoft,0,0,0,0,0,1/1/2015
566,Pathologic,2015,Adventure,Ice-pick Lodge,0,0,0,0,0,1/1/2015
567,Geometry Wars 3: Dimensions,N/A,Shooter,,0,0,0,0,0,#VALUE!
568,Assassin's Creed: Victory,2015,Action,Ubisoft,0,0,0,0,0,1/1/2015
569,The Banner Saga 2,N/A,Role-Playing,,0,0,0,0,0,#VALUE!
570,Gigantic,N/A,Action,,0,0,0,0,0,#VALUE!
571,Magic Duels: Origin,N/A,Misc,,0,0,0,0,0,#VALUE!
572,Shiftlings,N/A,Platform,,0,0,0,0,0,#VALUE!
573,Oceanhorn: Monster of Uncharted Seas,N/A,Action,,0,0,0,0,0,#VALUE!
574,Beyond Eyes,N/A,Adventure,,0,0,0,0,0,#VALUE!
575,Inside My Radio,N/A,Platform,,0,0,0,0,0,#VALUE!
576,Kaiju Panic,N/A,Strategy,,0,0,0,0,0,#VALUE!
577,Tembo the Badass Elephant,N/A,Platform,,0,0,0,0,0,#VALUE!
578,Assassin's Creed Chronicles: Russia,N/A,Action,,0,0,0,0,0,#VALUE!
579,Assassin's Creed Chronicles: India,N/A,Action,,0,0,0,0,0,#VALUE!
580,Overlord: Fellowship of Evil,N/A,Action,,0,0,0,0,0,#VALUE!
581,R.B.I. Baseball 15,2015,Sports,MLB.com,0,0,0,0,0,1/1/2015
582,The Walking Dead: Michonne,N/A,Adventure,,0,0,0,0,0,#VALUE!
583,Unravel,N/A,Platform,,0,0,0,0,0,#VALUE!
584,Tachyon Project,N/A,Action,,0,0,0,0,0,#VALUE!
585,Cross Reverie,2017,Role-Playing,Sinxsoft,0,0,0,0,0,1/1/2017
586,Goosebumps: The Game,N/A,Adventure,,0,0,0,0,0,#VALUE!
587,The Escapists: The Walking Dead,2015,Action,Team17 Software,0,0,0,0,0,1/1/2015
588,Woodcutter Simulator 2016,2015,Action,Namco Bandai Games,0,0,0,0,0,1/1/2015
589,Professional Farmer 2016,2015,Action,Namco Bandai Games,0,0,0,0,0,1/1/2015
590,Professional Lumberjack 2016,2015,Simulation,Namco Bandai Games,0,0,0,0,0,1/1/2015
591,Alekhine's Gun,2016,Action,Maximum Games,0,0,0,0,0,1/1/2016
592,World to the West,2017,Action-Adventure,Soedesco,0,0,0,0,0,1/1/2017
593,The Binding of Isaac: Rebirth,N/A,Action,,0,0,0,0,0,#VALUE!
594,Super Dungeon Bros,2016,Action,Wired Productions,0,0,0,0,0,1/1/2016
595,Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,0,0,0,0,0,1/1/2016
596,De-formers,N/A,Action,,0,0,0,0,0,#VALUE!
597,Wonder Boy: The Dragon's Trap (Remake),N/A,Platform,,0,0,0,0,0,#VALUE!
598,Rock of Ages II: Bigger and Boulder,N/A,Action,,0,0,0,0,0,#VALUE!
599,Fe,N/A,Action,,0,0,0,0,0,#VALUE!
600,We Sing (2016),2016,Music,THQ Nordic,0,0,0,0,0,1/1/2016
601,Don Bradman Cricket 17,2016,Sports,Tru Blu Entertainment,0,0,0,0,0,1/1/2016
602,Ace Combat 7: Skies Unknown,2019,Shooter,Bandai Namco Games,0,0,0,0,0,1/1/2019
